title,abstract,authors,link,source,cleaned_abstract
"Perception-Informed Neural Networks: Beyond Physics-Informed Neural
  Networks","This article introduces Perception-Informed Neural Networks (PrINNs), a framework designed to incorporate perception-based information into neural networks, addressing both systems with known and unknown physics laws or differential equations. Moreover, PrINNs extend the concept of Physics-Informed Neural Networks (PINNs) and their variants, offering a platform for the integration of diverse forms of perception precisiation, including singular, probability distribution, possibility distribution, interval, and fuzzy graph. In fact, PrINNs allow neural networks to model dynamical systems by integrating expert knowledge and perception-based information through loss functions, enabling the creation of modern data-driven models. Some of the key contributions include Mixture of Experts Informed Neural Networks (MOEINNs), which combine heterogeneous expert knowledge into the network, and Transformed-Knowledge Informed Neural Networks (TKINNs), which facilitate the incorporation of meta-information for enhanced model performance. Additionally, Fuzzy-Informed Neural Networks (FINNs) as a modern class of fuzzy deep neural networks leverage fuzzy logic constraints within a deep learning architecture, allowing online training without pre-training and eliminating the need for defuzzification. PrINNs represent a significant step forward in bridging the gap between traditional physics-based modeling and modern data-driven approaches, enabling neural networks to learn from both structured physics laws and flexible perception-based rules. This approach empowers neural networks to operate in uncertain environments, model complex systems, and discover new forms of differential equations, making PrINNs a powerful tool for advancing computational science and engineering.","Mehran Mazandarani, Marzieh Najariyan",http://arxiv.org/abs/2505.03806v2,arXiv,this article introduces perception-informed neural network prinns a framework design to incorporate perception-based information into neural network address both system with know and unknown physic law or differential equation moreover prinns extend the concept of physics-informed neural network pinns and their variant offering a platform for the integration of diverse form of perception precisiation include singular probability distribution possibility distribution interval and fuzzy graph in fact prinns allow neural network to model dynamical system by integrate expert knowledge and perception-based information through loss function enable the creation of modern data-driven model some of the key contribution include mixture of expert inform neural network moeinns which combine heterogeneous expert knowledge into the network and transformed-knowledge inform neural network tkinns which facilitate the incorporation of meta-information for enhance model performance additionally fuzzy-informed neural network finn a a modern class of fuzzy deep neural network leverage fuzzy logic constraint within a deep learn architecture allow online training without pre-training and eliminate the need for defuzzification prinns represent a significant step forward in bridging the gap between traditional physics-based model and modern data-driven approach enable neural network to learn from both structure physic law and flexible perception-based rule this approach empowers neural network to operate in uncertain environment model complex system and discover new form of differential equation make prinns a powerful tool for advance computational science and engineering
Neural network learning dynamics in a path integral framework,A path-integral formalism is proposed for studying the dynamical evolution in time of patterns in an artificial neural network in the presence of noise. An effective cost function is constructed which determines the unique global minimum of the neural network system. The perturbative method discussed also provides a way for determining the storage capacity of the network.,J. Balakrishnan,http://arxiv.org/abs/cond-mat/0308503v1,arXiv,a path-integral formalism be propose for study the dynamical evolution in time of pattern in an artificial neural network in the presence of noise an effective cost function be construct which determines the unique global minimum of the neural network system the perturbative method discuss also provide a way for determine the storage capacity of the network
Feedforward Neural Networks for Caching: Enough or Too Much?,"We propose a caching policy that uses a feedforward neural network (FNN) to predict content popularity. Our scheme outperforms popular eviction policies like LRU or ARC, but also a new policy relying on the more complex recurrent neural networks. At the same time, replacing the FNN predictor with a naive linear estimator does not degrade caching performance significantly, questioning then the role of neural networks for these applications.","Vladyslav Fedchenko, Giovanni Neglia, Bruno Ribeiro",http://arxiv.org/abs/1810.06930v1,arXiv,we propose a cache policy that us a feedforward neural network fnn to predict content popularity our scheme outperforms popular eviction policy like lru or arc but also a new policy rely on the more complex recurrent neural network at the same time replace the fnn predictor with a naive linear estimator do not degrade cache performance significantly question then the role of neural network for these application
"Deep Kronecker neural networks: A general framework for neural networks
  with adaptive activation functions","We propose a new type of neural networks, Kronecker neural networks (KNNs), that form a general framework for neural networks with adaptive activation functions. KNNs employ the Kronecker product, which provides an efficient way of constructing a very wide network while keeping the number of parameters low. Our theoretical analysis reveals that under suitable conditions, KNNs induce a faster decay of the loss than that by the feed-forward networks. This is also empirically verified through a set of computational examples. Furthermore, under certain technical assumptions, we establish global convergence of gradient descent for KNNs. As a specific case, we propose the Rowdy activation function that is designed to get rid of any saturation region by injecting sinusoidal fluctuations, which include trainable parameters. The proposed Rowdy activation function can be employed in any neural network architecture like feed-forward neural networks, Recurrent neural networks, Convolutional neural networks etc. The effectiveness of KNNs with Rowdy activation is demonstrated through various computational experiments including function approximation using feed-forward neural networks, solution inference of partial differential equations using the physics-informed neural networks, and standard deep learning benchmark problems using convolutional and fully-connected neural networks.","Ameya D. Jagtap, Yeonjong Shin, Kenji Kawaguchi, George Em Karniadakis",http://arxiv.org/abs/2105.09513v2,arXiv,we propose a new type of neural network kronecker neural network knns that form a general framework for neural network with adaptive activation function knns employ the kronecker product which provide an efficient way of construct a very wide network while keep the number of parameter low our theoretical analysis reveals that under suitable condition knns induce a faster decay of the loss than that by the feed-forward network this be also empirically verify through a set of computational example furthermore under certain technical assumption we establish global convergence of gradient descent for knns a a specific case we propose the rowdy activation function that be design to get rid of any saturation region by inject sinusoidal fluctuation which include trainable parameter the propose rowdy activation function can be employ in any neural network architecture like feed-forward neural network recurrent neural network convolutional neural network etc the effectiveness of knns with rowdy activation be demonstrate through various computational experiment include function approximation use feed-forward neural network solution inference of partial differential equation use the physics-informed neural network and standard deep learn benchmark problem use convolutional and fully-connected neural network
The Representation Theory of Neural Networks,"In this work, we show that neural networks can be represented via the mathematical theory of quiver representations. More specifically, we prove that a neural network is a quiver representation with activation functions, a mathematical object that we represent using a network quiver. Also, we show that network quivers gently adapt to common neural network concepts such as fully-connected layers, convolution operations, residual connections, batch normalization, pooling operations and even randomly wired neural networks. We show that this mathematical representation is by no means an approximation of what neural networks are as it exactly matches reality. This interpretation is algebraic and can be studied with algebraic methods. We also provide a quiver representation model to understand how a neural network creates representations from the data. We show that a neural network saves the data as quiver representations, and maps it to a geometrical space called the moduli space, which is given in terms of the underlying oriented graph of the network, i.e., its quiver. This results as a consequence of our defined objects and of understanding how the neural network computes a prediction in a combinatorial and algebraic way. Overall, representing neural networks through the quiver representation theory leads to 9 consequences and 4 inquiries for future research that we believe are of great interest to better understand what neural networks are and how they work.","Marco Antonio Armenta, Pierre-Marc Jodoin",http://arxiv.org/abs/2007.12213v2,arXiv,in this work we show that neural network can be represent via the mathematical theory of quiver representation more specifically we prove that a neural network be a quiver representation with activation function a mathematical object that we represent use a network quiver also we show that network quiver gently adapt to common neural network concept such a fully-connected layer convolution operation residual connection batch normalization pool operation and even randomly wire neural network we show that this mathematical representation be by no mean an approximation of what neural network be a it exactly match reality this interpretation be algebraic and can be study with algebraic method we also provide a quiver representation model to understand how a neural network creates representation from the data we show that a neural network save the data a quiver representation and map it to a geometrical space call the modulus space which be give in term of the underlie orient graph of the network i e it quiver this result a a consequence of our define object and of understand how the neural network computes a prediction in a combinatorial and algebraic way overall represent neural network through the quiver representation theory lead to 9 consequence and 4 inquiry for future research that we believe be of great interest to well understand what neural network be and how they work
Neural SDE: Stabilizing Neural ODE Networks with Stochastic Noise,"Neural Ordinary Differential Equation (Neural ODE) has been proposed as a continuous approximation to the ResNet architecture. Some commonly used regularization mechanisms in discrete neural networks (e.g. dropout, Gaussian noise) are missing in current Neural ODE networks. In this paper, we propose a new continuous neural network framework called Neural Stochastic Differential Equation (Neural SDE) network, which naturally incorporates various commonly used regularization mechanisms based on random noise injection. Our framework can model various types of noise injection frequently used in discrete networks for regularization purpose, such as dropout and additive/multiplicative noise in each block. We provide theoretical analysis explaining the improved robustness of Neural SDE models against input perturbations/adversarial attacks. Furthermore, we demonstrate that the Neural SDE network can achieve better generalization than the Neural ODE and is more resistant to adversarial and non-adversarial input perturbations.","Xuanqing Liu, Tesi Xiao, Si Si, Qin Cao, Sanjiv Kumar, Cho-Jui Hsieh",http://arxiv.org/abs/1906.02355v1,arXiv,neural ordinary differential equation neural ode have be propose a a continuous approximation to the resnet architecture some commonly use regularization mechanism in discrete neural network e g dropout gaussian noise be miss in current neural ode network in this paper we propose a new continuous neural network framework call neural stochastic differential equation neural sde network which naturally incorporates various commonly use regularization mechanism base on random noise injection our framework can model various type of noise injection frequently use in discrete network for regularization purpose such a dropout and additive multiplicative noise in each block we provide theoretical analysis explain the improve robustness of neural sde model against input perturbation adversarial attack furthermore we demonstrate that the neural sde network can achieve well generalization than the neural ode and be more resistant to adversarial and non-adversarial input perturbation
Can a powerful neural network be a teacher for a weaker neural network?,"The transfer learning technique is widely used to learning in one context and applying it to another, i.e. the capacity to apply acquired knowledge and skills to new situations. But is it possible to transfer the learning from a deep neural network to a weaker neural network? Is it possible to improve the performance of a weak neural network using the knowledge acquired by a more powerful neural network? In this work, during the training process of a weak network, we add a loss function that minimizes the distance between the features previously learned from a strong neural network with the features that the weak network must try to learn. To demonstrate the effectiveness and robustness of our approach, we conducted a large number of experiments using three known datasets and demonstrated that a weak neural network can increase its performance if its learning process is driven by a more powerful neural network.","Nicola Landro, Ignazio Gallo, Riccardo La Grassa",http://arxiv.org/abs/2005.00393v2,arXiv,the transfer learn technique be widely use to learn in one context and apply it to another i e the capacity to apply acquire knowledge and skill to new situation but be it possible to transfer the learn from a deep neural network to a weaker neural network be it possible to improve the performance of a weak neural network use the knowledge acquire by a more powerful neural network in this work during the training process of a weak network we add a loss function that minimizes the distance between the feature previously learn from a strong neural network with the feature that the weak network must try to learn to demonstrate the effectiveness and robustness of our approach we conduct a large number of experiment use three know datasets and demonstrate that a weak neural network can increase it performance if it learn process be driven by a more powerful neural network
"Message Passing Variational Autoregressive Network for Solving
  Intractable Ising Models","Many deep neural networks have been used to solve Ising models, including autoregressive neural networks, convolutional neural networks, recurrent neural networks, and graph neural networks. Learning a probability distribution of energy configuration or finding the ground states of a disordered, fully connected Ising model is essential for statistical mechanics and NP-hard problems. Despite tremendous efforts, a neural network architecture with the ability to high-accurately solve these fully connected and extremely intractable problems on larger systems is still lacking. Here we propose a variational autoregressive architecture with a message passing mechanism, which can effectively utilize the interactions between spin variables. The new network trained under an annealing framework outperforms existing methods in solving several prototypical Ising spin Hamiltonians, especially for larger spin systems at low temperatures. The advantages also come from the great mitigation of mode collapse during the training process of deep neural networks. Considering these extremely difficult problems to be solved, our method extends the current computational limits of unsupervised neural networks to solve combinatorial optimization problems.","Qunlong Ma, Zhi Ma, Jinlong Xu, Hairui Zhang, Ming Gao",http://arxiv.org/abs/2404.06225v1,arXiv,many deep neural network have be use to solve ising model include autoregressive neural network convolutional neural network recurrent neural network and graph neural network learn a probability distribution of energy configuration or find the ground state of a disorder fully connect ising model be essential for statistical mechanic and np-hard problem despite tremendous effort a neural network architecture with the ability to high-accurately solve these fully connect and extremely intractable problem on large system be still lack here we propose a variational autoregressive architecture with a message passing mechanism which can effectively utilize the interaction between spin variable the new network train under an anneal framework outperforms exist method in solve several prototypical ising spin hamiltonians especially for large spin system at low temperature the advantage also come from the great mitigation of mode collapse during the training process of deep neural network consider these extremely difficult problem to be solve our method extends the current computational limit of unsupervised neural network to solve combinatorial optimization problem
Dynamics of Deep Neural Networks and Neural Tangent Hierarchy,"The evolution of a deep neural network trained by the gradient descent can be described by its neural tangent kernel (NTK) as introduced in [20], where it was proven that in the infinite width limit the NTK converges to an explicit limiting kernel and it stays constant during training. The NTK was also implicit in some other recent papers [6,13,14]. In the overparametrization regime, a fully-trained deep neural network is indeed equivalent to the kernel regression predictor using the limiting NTK. And the gradient descent achieves zero training loss for a deep overparameterized neural network. However, it was observed in [5] that there is a performance gap between the kernel regression using the limiting NTK and the deep neural networks. This performance gap is likely to originate from the change of the NTK along training due to the finite width effect. The change of the NTK along the training is central to describe the generalization features of deep neural networks.   In the current paper, we study the dynamic of the NTK for finite width deep fully-connected neural networks. We derive an infinite hierarchy of ordinary differential equations, the neural tangent hierarchy (NTH) which captures the gradient descent dynamic of the deep neural network. Moreover, under certain conditions on the neural network width and the data set dimension, we prove that the truncated hierarchy of NTH approximates the dynamic of the NTK up to arbitrary precision. This description makes it possible to directly study the change of the NTK for deep neural networks, and sheds light on the observation that deep neural networks outperform kernel regressions using the corresponding limiting NTK.","Jiaoyang Huang, Horng-Tzer Yau",http://arxiv.org/abs/1909.08156v1,arXiv,the evolution of a deep neural network train by the gradient descent can be described by it neural tangent kernel ntk a introduce in 20 where it be proven that in the infinite width limit the ntk converges to an explicit limit kernel and it stay constant during training the ntk be also implicit in some other recent paper 6 13 14 in the overparametrization regime a fully-trained deep neural network be indeed equivalent to the kernel regression predictor use the limit ntk and the gradient descent achieves zero training loss for a deep overparameterized neural network however it be observe in 5 that there be a performance gap between the kernel regression use the limit ntk and the deep neural network this performance gap be likely to originate from the change of the ntk along training due to the finite width effect the change of the ntk along the training be central to describe the generalization feature of deep neural network in the current paper we study the dynamic of the ntk for finite width deep fully-connected neural network we derive an infinite hierarchy of ordinary differential equation the neural tangent hierarchy nth which capture the gradient descent dynamic of the deep neural network moreover under certain condition on the neural network width and the data set dimension we prove that the truncate hierarchy of nth approximates the dynamic of the ntk up to arbitrary precision this description make it possible to directly study the change of the ntk for deep neural network and shed light on the observation that deep neural network outperform kernel regression use the correspond limit ntk
"Novel Kernel Models and Exact Representor Theory for Neural Networks
  Beyond the Over-Parameterized Regime","This paper presents two models of neural-networks and their training applicable to neural networks of arbitrary width, depth and topology, assuming only finite-energy neural activations; and a novel representor theory for neural networks in terms of a matrix-valued kernel. The first model is exact (un-approximated) and global, casting the neural network as an elements in a reproducing kernel Banach space (RKBS); we use this model to provide tight bounds on Rademacher complexity. The second model is exact and local, casting the change in neural network function resulting from a bounded change in weights and biases (ie. a training step) in reproducing kernel Hilbert space (RKHS) in terms of a local-intrinsic neural kernel (LiNK). This local model provides insight into model adaptation through tight bounds on Rademacher complexity of network adaptation. We also prove that the neural tangent kernel (NTK) is a first-order approximation of the LiNK kernel. Finally, and noting that the LiNK does not provide a representor theory for technical reasons, we present an exact novel representor theory for layer-wise neural network training with unregularized gradient descent in terms of a local-extrinsic neural kernel (LeNK). This representor theory gives insight into the role of higher-order statistics in neural network training and the effect of kernel evolution in neural-network kernel models. Throughout the paper (a) feedforward ReLU networks and (b) residual networks (ResNet) are used as illustrative examples.","Alistair Shilton, Sunil Gupta, Santu Rana, Svetha Venkatesh",http://arxiv.org/abs/2405.15254v1,arXiv,this paper present two model of neural-networks and their training applicable to neural network of arbitrary width depth and topology assume only finite-energy neural activation and a novel representor theory for neural network in term of a matrix-valued kernel the first model be exact un-approximated and global cast the neural network a an element in a reproduce kernel banach space rkbs we use this model to provide tight bound on rademacher complexity the second model be exact and local cast the change in neural network function result from a bound change in weight and bias ie a training step in reproduce kernel hilbert space rkhs in term of a local-intrinsic neural kernel link this local model provide insight into model adaptation through tight bound on rademacher complexity of network adaptation we also prove that the neural tangent kernel ntk be a first-order approximation of the link kernel finally and note that the link do not provide a representor theory for technical reason we present an exact novel representor theory for layer-wise neural network training with unregularized gradient descent in term of a local-extrinsic neural kernel lenk this representor theory give insight into the role of higher-order statistic in neural network training and the effect of kernel evolution in neural-network kernel model throughout the paper a feedforward relu network and b residual network resnet be use a illustrative example
Feature Weight Tuning for Recursive Neural Networks,"This paper addresses how a recursive neural network model can automatically leave out useless information and emphasize important evidence, in other words, to perform ""weight tuning"" for higher-level representation acquisition. We propose two models, Weighted Neural Network (WNN) and Binary-Expectation Neural Network (BENN), which automatically control how much one specific unit contributes to the higher-level representation. The proposed model can be viewed as incorporating a more powerful compositional function for embedding acquisition in recursive neural networks. Experimental results demonstrate the significant improvement over standard neural models.",Jiwei Li,http://arxiv.org/abs/1412.3714v2,arXiv,this paper address how a recursive neural network model can automatically leave out useless information and emphasize important evidence in other word to perform weight tune for higher-level representation acquisition we propose two model weight neural network wnn and binary-expectation neural network benn which automatically control how much one specific unit contributes to the higher-level representation the propose model can be view a incorporate a more powerful compositional function for embed acquisition in recursive neural network experimental result demonstrate the significant improvement over standard neural model
"Neural Nets via Forward State Transformation and Backward Loss
  Transformation","This article studies (multilayer perceptron) neural networks with an emphasis on the transformations involved --- both forward and backward --- in order to develop a semantical/logical perspective that is in line with standard program semantics. The common two-pass neural network training algorithms make this viewpoint particularly fitting. In the forward direction, neural networks act as state transformers. In the reverse direction, however, neural networks change losses of outputs to losses of inputs, thereby acting like a (real-valued) predicate transformer. In this way, backpropagation is functorial by construction, as shown earlier in recent other work. We illustrate this perspective by training a simple instance of a neural network.","Bart Jacobs, David Sprunger",http://arxiv.org/abs/1803.09356v1,arXiv,this article study multilayer perceptron neural network with an emphasis on the transformation involve -- - both forward and backward -- - in order to develop a semantical logical perspective that be in line with standard program semantics the common two-pass neural network training algorithm make this viewpoint particularly fitting in the forward direction neural network act a state transformer in the reverse direction however neural network change loss of output to loss of input thereby act like a real-valued predicate transformer in this way backpropagation be functorial by construction a show earlier in recent other work we illustrate this perspective by training a simple instance of a neural network
Neural Networks Processing Mean Values of Random Variables,"We introduce a class of neural networks derived from probabilistic models in the form of Bayesian belief networks. By imposing additional assumptions about the nature of the probabilistic models represented in the belief networks, we derive neural networks with standard dynamics that require no training to determine the synaptic weights, that can pool multiple sources of evidence, and that deal cleanly and consistently with inconsistent or contradictory evidence. The presented neural networks capture many properties of Bayesian belief networks, providing distributed versions of probabilistic models.","M. J. Barber, J. W. Clark, C. H. Anderson",http://arxiv.org/abs/cond-mat/0407436v1,arXiv,we introduce a class of neural network derive from probabilistic model in the form of bayesian belief network by impose additional assumption about the nature of the probabilistic model represent in the belief network we derive neural network with standard dynamic that require no training to determine the synaptic weight that can pool multiple source of evidence and that deal cleanly and consistently with inconsistent or contradictory evidence the present neural network capture many property of bayesian belief network provide distribute version of probabilistic model
Stability of a neural network model with small-world connections,"Small-world networks are highly clustered networks with small distances among the nodes. There are many biological neural networks that present this kind of connections. There are no special weightings in the connections of most existing small-world network models. However, this kind of simply-connected models cannot characterize biological neural networks, in which there are different weights in synaptic connections. In this paper, we present a neural network model with weighted small-world connections, and further investigate the stability of this model.","Chunguang Li, Guanrong Chen",http://arxiv.org/abs/cond-mat/0410492v1,arXiv,small-world network be highly cluster network with small distance among the node there be many biological neural network that present this kind of connection there be no special weighting in the connection of most exist small-world network model however this kind of simply-connected model can not characterize biological neural network in which there be different weight in synaptic connection in this paper we present a neural network model with weight small-world connection and far investigate the stability of this model
Mobility Prediction in Wireless Ad Hoc Networks using Neural Networks,"Mobility prediction allows estimating the stability of paths in a mobile wireless Ad Hoc networks. Identifying stable paths helps to improve routing by reducing the overhead and the number of connection interruptions. In this paper, we introduce a neural network based method for mobility prediction in Ad Hoc networks. This method consists of a multi-layer and recurrent neural network using back propagation through time algorithm for training.","Heni Kaaniche, Farouk Kamoun",http://arxiv.org/abs/1004.4610v1,arXiv,mobility prediction allows estimate the stability of path in a mobile wireless ad hoc network identify stable path help to improve rout by reduce the overhead and the number of connection interruption in this paper we introduce a neural network base method for mobility prediction in ad hoc network this method consists of a multi-layer and recurrent neural network use back propagation through time algorithm for training
Designing neural networks that process mean values of random variables,"We introduce a class of neural networks derived from probabilistic models in the form of Bayesian networks. By imposing additional assumptions about the nature of the probabilistic models represented in the networks, we derive neural networks with standard dynamics that require no training to determine the synaptic weights, that perform accurate calculation of the mean values of the random variables, that can pool multiple sources of evidence, and that deal cleanly and consistently with inconsistent or contradictory evidence. The presented neural networks capture many properties of Bayesian networks, providing distributed versions of probabilistic models.","Michael J. Barber, John W. Clark",http://arxiv.org/abs/1004.5326v1,arXiv,we introduce a class of neural network derive from probabilistic model in the form of bayesian network by impose additional assumption about the nature of the probabilistic model represent in the network we derive neural network with standard dynamic that require no training to determine the synaptic weight that perform accurate calculation of the mean value of the random variable that can pool multiple source of evidence and that deal cleanly and consistently with inconsistent or contradictory evidence the present neural network capture many property of bayesian network provide distribute version of probabilistic model
A Primer on Neural Network Models for Natural Language Processing,"Over the past few years, neural networks have re-emerged as powerful machine-learning models, yielding state-of-the-art results in fields such as image recognition and speech processing. More recently, neural network models started to be applied also to textual natural language signals, again with very promising results. This tutorial surveys neural network models from the perspective of natural language processing research, in an attempt to bring natural-language researchers up to speed with the neural techniques. The tutorial covers input encoding for natural language tasks, feed-forward networks, convolutional networks, recurrent networks and recursive networks, as well as the computation graph abstraction for automatic gradient computation.",Yoav Goldberg,http://arxiv.org/abs/1510.00726v1,arXiv,over the past few year neural network have re-emerged a powerful machine-learning model yield state-of-the-art result in field such a image recognition and speech processing more recently neural network model start to be apply also to textual natural language signal again with very promising result this tutorial survey neural network model from the perspective of natural language processing research in an attempt to bring natural-language researcher up to speed with the neural technique the tutorial cover input encode for natural language task feed-forward network convolutional network recurrent network and recursive network a well a the computation graph abstraction for automatic gradient computation
On the Relative Expressiveness of Bayesian and Neural Networks,"A neural network computes a function. A central property of neural networks is that they are ""universal approximators:"" for a given continuous function, there exists a neural network that can approximate it arbitrarily well, given enough neurons (and some additional assumptions). In contrast, a Bayesian network is a model, but each of its queries can be viewed as computing a function. In this paper, we identify some key distinctions between the functions computed by neural networks and those by marginal Bayesian network queries, showing that the former are more expressive than the latter. Moreover, we propose a simple augmentation to Bayesian networks (a testing operator), which enables their marginal queries to become ""universal approximators.""","Arthur Choi, Ruocheng Wang, Adnan Darwiche",http://arxiv.org/abs/1812.08957v1,arXiv,a neural network computes a function a central property of neural network be that they be universal approximators for a give continuous function there exists a neural network that can approximate it arbitrarily well give enough neuron and some additional assumption in contrast a bayesian network be a model but each of it query can be view a compute a function in this paper we identify some key distinction between the function compute by neural network and those by marginal bayesian network query show that the former be more expressive than the latter moreover we propose a simple augmentation to bayesian network a test operator which enables their marginal query to become universal approximators
Power Law in Sparsified Deep Neural Networks,"The power law has been observed in the degree distributions of many biological neural networks. Sparse deep neural networks, which learn an economical representation from the data, resemble biological neural networks in many ways. In this paper, we study if these artificial networks also exhibit properties of the power law. Experimental results on two popular deep learning models, namely, multilayer perceptrons and convolutional neural networks, are affirmative. The power law is also naturally related to preferential attachment. To study the dynamical properties of deep networks in continual learning, we propose an internal preferential attachment model to explain how the network topology evolves. Experimental results show that with the arrival of a new task, the new connections made follow this preferential attachment process.","Lu Hou, James T. Kwok",http://arxiv.org/abs/1805.01891v1,arXiv,the power law have be observe in the degree distribution of many biological neural network sparse deep neural network which learn an economical representation from the data resemble biological neural network in many way in this paper we study if these artificial network also exhibit property of the power law experimental result on two popular deep learn model namely multilayer perceptrons and convolutional neural network be affirmative the power law be also naturally related to preferential attachment to study the dynamical property of deep network in continual learn we propose an internal preferential attachment model to explain how the network topology evolves experimental result show that with the arrival of a new task the new connection make follow this preferential attachment process
Kernel-based Translations of Convolutional Networks,"Convolutional Neural Networks, as most artificial neural networks, are commonly viewed as methods different in essence from kernel-based methods. We provide a systematic translation of Convolutional Neural Networks (ConvNets) into their kernel-based counterparts, Convolutional Kernel Networks (CKNs), and demonstrate that this perception is unfounded both formally and empirically. We show that, given a Convolutional Neural Network, we can design a corresponding Convolutional Kernel Network, easily trainable using a new stochastic gradient algorithm based on an accurate gradient computation, that performs on par with its Convolutional Neural Network counterpart. We present experimental results supporting our claims on landmark ConvNet architectures comparing each ConvNet to its CKN counterpart over several parameter settings.","Corinne Jones, Vincent Roulet, Zaid Harchaoui",http://arxiv.org/abs/1903.08131v1,arXiv,convolutional neural network a most artificial neural network be commonly view a method different in essence from kernel-based method we provide a systematic translation of convolutional neural network convnets into their kernel-based counterpart convolutional kernel network ckns and demonstrate that this perception be unfounded both formally and empirically we show that give a convolutional neural network we can design a correspond convolutional kernel network easily trainable use a new stochastic gradient algorithm base on an accurate gradient computation that performs on par with it convolutional neural network counterpart we present experimental result support our claim on landmark convnet architecture compare each convnet to it ckn counterpart over several parameter setting
A Survey on Graph Classification and Link Prediction based on GNN,"Traditional convolutional neural networks are limited to handling Euclidean space data, overlooking the vast realm of real-life scenarios represented as graph data, including transportation networks, social networks, and reference networks. The pivotal step in transferring convolutional neural networks to graph data analysis and processing lies in the construction of graph convolutional operators and graph pooling operators. This comprehensive review article delves into the world of graph convolutional neural networks. Firstly, it elaborates on the fundamentals of graph convolutional neural networks. Subsequently, it elucidates the graph neural network models based on attention mechanisms and autoencoders, summarizing their application in node classification, graph classification, and link prediction along with the associated datasets.","Xingyu Liu, Juan Chen, Quan Wen",http://arxiv.org/abs/2307.00865v1,arXiv,traditional convolutional neural network be limited to handle euclidean space data overlook the vast realm of real-life scenario represent a graph data include transportation network social network and reference network the pivotal step in transfer convolutional neural network to graph data analysis and processing lie in the construction of graph convolutional operator and graph pool operator this comprehensive review article delf into the world of graph convolutional neural network firstly it elaborates on the fundamental of graph convolutional neural network subsequently it elucidates the graph neural network model base on attention mechanism and autoencoders summarize their application in node classification graph classification and link prediction along with the associate datasets
"Evolving Self-taught Neural Networks: The Baldwin Effect and the
  Emergence of Intelligence","The so-called Baldwin Effect generally says how learning, as a form of ontogenetic adaptation, can influence the process of phylogenetic adaptation, or evolution. This idea has also been taken into computation in which evolution and learning are used as computational metaphors, including evolving neural networks. This paper presents a technique called evolving self-taught neural networks - neural networks that can teach themselves without external supervision or reward. The self-taught neural network is intrinsically motivated. Moreover, the self-taught neural network is the product of the interplay between evolution and learning. We simulate a multi-agent system in which neural networks are used to control autonomous agents. These agents have to forage for resources and compete for their own survival. Experimental results show that the interaction between evolution and the ability to teach oneself in self-taught neural networks outperform evolution and self-teaching alone. More specifically, the emergence of an intelligent foraging strategy is also demonstrated through that interaction. Indications for future work on evolving neural networks are also presented.",Nam Le,http://arxiv.org/abs/1906.08854v1,arXiv,the so-called baldwin effect generally say how learn a a form of ontogenetic adaptation can influence the process of phylogenetic adaptation or evolution this idea have also be take into computation in which evolution and learn be use a computational metaphor include evolve neural network this paper present a technique call evolve self-taught neural network - neural network that can teach themselves without external supervision or reward the self-taught neural network be intrinsically motivate moreover the self-taught neural network be the product of the interplay between evolution and learn we simulate a multi-agent system in which neural network be use to control autonomous agent these agent have to forage for resource and compete for their own survival experimental result show that the interaction between evolution and the ability to teach oneself in self-taught neural network outperform evolution and self-teaching alone more specifically the emergence of an intelligent forage strategy be also demonstrate through that interaction indication for future work on evolve neural network be also present
